"시도교육청","교육지원청","지역","정보공시 학교코드","학교명","학교급코드","설립구분","제외여부","제외사유","1학년 학급수","1학년 학생수","1학년 학급당 학생수","2학년 학급수","2학년 학생수","2학년 학급당 학생수","3학년 학급수","3학년 학생수","3학년 학급당 학생수","4학년 학급수","4학년 학생수","4학년 학급당 학생수","5학년 학급수","5학년 학생수","5학년 학급당 학생수","6학년 학급수","6학년 학생수","6학년 학급당 학생수","특수학급 학급수","특수학급 학생수","특수학급 학급당 학생수","순회학급 학급수","순회학급 학생수","순회학급 학급당 학생수","학급수(계)","학생수(계)","학급당 학생수(계)","교사수","수업교원 1인당 학생수"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003613","용흥초등학교","02","공립","N","","1","10","10","1","12","12","1","18","18","1","7","7","1","12","12","1","23","23","1","2","2","0","0","0","7","84","12","8","10.5"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003614","월포초등학교","02","공립","N","","1","4","4","0","0","0","1","2","2","1","5","5","1","5","5","1","4","4","1","1","1","0","0","0","6","21","3.5","8","2.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003615","유강초등학교","02","공립","N","","4","77","19.3","4","94","23.5","5","112","22.4","6","136","22.7","5","123","24.6","6","142","23.7","1","4","4","0","0","0","31","688","22.2","38","18.1"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003617","이동초등학교","02","공립","N","","4","84","21","5","140","28","5","134","26.8","5","131","26.2","6","143","23.8","7","175","25","2","8","4","0","0","0","34","815","24","41","19.9"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003618","인덕초등학교","02","공립","N","","4","108","27","5","126","25.2","5","142","28.4","4","103","25.8","4","98","24.5","4","102","25.5","2","12","6","0","0","0","28","691","24.7","33","20.9"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003620","장기초등학교","02","공립","N","","1","8","8","1","12","12","1","3","3","1","8","8","1","12","12","1","8","8","0","0","0","0","0","0","6","51","8.5","9","5.7"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003621","장기초등학교모포분교장","02","공립","N","","0","0","0","0","0","0","1","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","3","0","0"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003625","장량초등학교","02","공립","N","","4","95","23.8","4","107","26.8","5","125","25","5","135","27","5","135","27","6","153","25.5","1","2","2","0","0","0","30","752","25.1","38","19.8"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003626","장성초등학교","02","공립","N","","2","40","20","2","44","22","4","84","21","3","73","24.3","4","87","21.8","3","82","27.3","2","12","6","0","0","0","20","422","21.1","25","16.9"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003628","죽도초등학교","02","공립","N","","1","14","14","1","16","16","1","10","10","1","11","11","1","13","13","1","16","16","0","0","0","0","0","0","6","80","13.3","9","8.9"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003631","죽장초등학교","02","공립","N","","1","3","3","1","6","6","1","5","5","0","0","0","1","3","3","1","4","4","1","1","1","0","0","0","6","22","3.7","8","2.8"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003635","죽장초등학교상옥분교장","02","공립","N","","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","0","1","2","2","2","1"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003638","죽천초등학교","02","공립","N","","1","5","5","1","7","7","1","8","8","1","7","7","1","11","11","1","13","13","0","0","0","0","0","0","6","51","8.5","8","6.4"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003640","창포초등학교","02","공립","N","","4","92","23","4","103","25.8","4","99","24.8","4","88","22","5","121","24.2","4","91","22.8","2","11","5.5","0","0","0","27","605","22.4","32","18.9"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003641","청림초등학교","02","공립","N","","1","13","13","1","13","13","1","13","13","1","16","16","1","15","15","1","17","17","1","4","4","0","0","0","7","91","13","8","11.4"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003644","청하초등학교","02","공립","N","","1","2","2","1","7","7","1","4","4","1","6","6","1","14","14","1","8","8","1","3","3","0","0","0","7","44","6.3","8","5.5"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003648","포항남부초등학교","02","공립","N","","2","28","14","2","35","17.5","2","50","25","2","54","27","2","45","22.5","1","23","23","2","9","4.5","0","0","0","13","244","18.8","15","16.3"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003649","포항대흥초등학교","02","공립","N","","3","76","25.3","4","84","21","4","99","24.8","4","105","26.3","5","117","23.4","4","109","27.3","1","4","4","0","0","0","25","594","23.8","34","17.5"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003650","포항동부초등학교","02","공립","N","","2","28","14","2","36","18","2","31","15.5","2","31","15.5","2","42","21","2","38","19","2","8","4","0","0","0","14","214","15.3","17","12.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003651","포항송도초등학교","02","공립","N","","1","13","13","1","19","19","1","19","19","1","15","15","1","18","18","1","17","17","1","3","3","0","0","0","7","104","14.9","9","11.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003652","포항영흥초등학교","02","공립","N","","1","12","12","1","13","13","1","23","23","1","11","11","2","31","15.5","1","18","18","2","8","4","0","0","0","9","116","12.9","11","10.5"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003653","포항제철초등학교","02","사립","N","","4","117","29.3","5","129","25.8","6","151","25.2","6","186","31","6","162","27","7","197","28.1","0","0","0","0","0","0","34","942","27.7","41","23"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003655","포항제철지곡초등학교","02","사립","N","","8","227","28.4","7","215","30.7","8","252","31.5","6","189","31.5","7","222","31.7","8","253","31.6","2","11","5.5","0","0","0","46","1369","29.8","55","24.9"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003656","포항중앙초등학교","02","공립","N","","6","163","27.2","6","158","26.3","8","202","25.3","6","161","26.8","6","171","28.5","7","179","25.6","1","3","3","0","0","0","40","1037","25.9","49","21.2"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003657","포항초등학교","02","공립","N","","2","33","16.5","2","50","25","1","27","27","2","31","15.5","1","29","29","2","42","21","2","10","5","0","0","0","12","222","18.5","15","14.8"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003658","포항항도초등학교","02","공립","N","","1","15","15","1","25","25","2","29","14.5","1","26","26","2","31","15.5","2","33","16.5","1","5","5","0","0","0","10","164","16.4","13","12.6"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003659","항구초등학교","02","공립","N","","1","13","13","1","9","9","1","9","9","1","4","4","1","17","17","1","12","12","2","10","5","0","0","0","8","74","9.3","9","8.2"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 남구","S150003661","효자초등학교","02","공립","N","","6","156","26","8","213","26.6","8","203","25.4","7","187","26.7","7","193","27.6","7","188","26.9","1","5","5","0","0","0","44","1145","26","52","22"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003662","흥해남산초등학교","02","공립","N","","2","38","19","2","29","14.5","2","37","18.5","2","38","19","2","37","18.5","2","46","23","1","5","5","0","0","0","13","230","17.7","15","15.3"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003663","흥해서부초등학교","02","공립","N","","1","10","10","1","19","19","1","15","15","1","16","16","1","12","12","1","15","15","1","4","4","0","0","0","7","91","13","9","10.1"
"경상북도교육청","경상북도포항교육지원청","경상북도 포항시 북구","S150003664","흥해초등학교","02","공립","N","","1","21","21","2","27","13.5","2","26","13","2","33","16.5","2","43","21.5","2","43","21.5","1","5","5","0","0","0","12","198","16.5","15","13.2"
"경상북도교육청","경상북도구미교육지원청","경상북도 구미시","S150005602","구평남부초등학교","02","공립","N","","5","113","22.6","5","122","24.4","6","149","24.8","5","138","27.6","6","155","25.8","7","191","27.3","1","5","5","0","0","0","35","873","24.9","43","20.3"
