설(상)치 장소,입력주소,X,Y,CLSS,PNU,주소구분,표준신주소,표준구주소,우편번호,행정동코드,행정동명,법정동코드,법정동명
" 경상북도 구미시 산동면 신당1로1길 17-14, 석세스빌딩  (신당리) ","경상북도 구미시 산동면 신당1로1길 17-14, 석세스빌딩  (신당리) ",128.4323484,36.155732,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로1길 17-14,경상북도 구미시 산동읍 신당리 1446,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로1길 17-7, (신당리) ","경상북도 구미시 산동면 신당1로1길 17-7, (신당리) ",128.432913,36.1553334,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로1길 17-7,경상북도 구미시 산동읍 신당리 1449,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로2길 10, (신당리) ","경상북도 구미시 산동면 신당1로2길 10, (신당리) ",128.4322881,36.154876,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로2길 10,경상북도 구미시 산동읍 신당리 1457,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로2길 14, (신당리) ","경상북도 구미시 산동면 신당1로2길 14, (신당리) ",128.4323017,36.1553266,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로2길 14,경상북도 구미시 산동읍 신당리 1447,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로2길 14, EPS실 3층  (신당리) ","경상북도 구미시 산동면 신당1로2길 14, EPS실 3층  (신당리) ",128.4323017,36.1553266,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로2길 14,경상북도 구미시 산동읍 신당리 1447,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로2길 15, (신당리) ","경상북도 구미시 산동면 신당1로2길 15, (신당리) ",128.4317584,36.1555539,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로2길 15,경상북도 구미시 산동읍 신당리 1432,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로3길 17-6, (신당리) ","경상북도 구미시 산동면 신당1로3길 17-6, (신당리) ",128.4308485,36.1558185,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로3길 17-6,경상북도 구미시 산동읍 신당리 1418,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로3길 19, 아이엔씨타워  (신당리) ","경상북도 구미시 산동면 신당1로3길 19, 아이엔씨타워  (신당리) ",128.4312152,36.1558172,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로3길 19,경상북도 구미시 산동읍 신당리 1419,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로3길 3, (신당리) ","경상북도 구미시 산동면 신당1로3길 3, (신당리) ",128.4311739,36.1543663,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로3길 3,경상북도 구미시 산동읍 신당리 1430,39464,4719025600,산동읍,4719025625,산동읍 신당리
" 경상북도 구미시 산동면 신당1로3길 3, 일반  (신당리) ","경상북도 구미시 산동면 신당1로3길 3, 일반  (신당리) ",128.4311739,36.1543663,정좌표,4.72E+18,새주소,경상북도 구미시 산동읍 신당1로3길 3,경상북도 구미시 산동읍 신당리 1430,39464,4719025600,산동읍,4719025625,산동읍 신당리
